PREFIX;PART1;PART2;;
mindre;tofs;örn;;
större;fjäll;kråka;;
tretåig;havs;spett;;
smalnäbbad;sten;tita;;
klykstjärtad;kungs;snappare;;
blå;träd;skrika;;
brun;kors;fink;;
bredstjärtad;rödvinge;fågel;;
rödstrupig;kol;trast;;
svartvit;grå;lärka;;
vitnäbbad;spill;pipare;;
vitryggig;hack;svala;;
;siden;piplärka;;
;ström;bena;;
;järn;näbb;;
;gärd;svans;;
;gul;smyg;;
;fors;ärla;;
;blå;seglare;;
;grön;fiskare;;
;flug;göling;;
;fisk;skata;;
;törn;duva;;
;jord;uggla;;
;turtur;grissla;;
;ring;tärna;;
;tam;mås;;
;lunne;trut;;
;svart;labb;;
;bi;snäppa;;
;skratt;spov;;
;sim;beckasin;;
;stor;vipa;;
;små;trana;;
;myr;hök;;
;drill;häger;;
;dubbel;vråk;;
;fjäll;falk;;
;strand;ripa;;
;duv;fasan;;
;lapp;höna;;
;pilgrims;skrake;;
;dal;and;;
;sump;svan;;
;knöl;dopping;;
;sång;lom;;
;svarthake;knarr;;
;skägg;hane;;
;berg;löpare;;
;korn;pingvin;;
;enkel;uv;;
;blåvinge;skärra;;
;kärr;skvätta;;
;brus;sångare;;
;skär;mes;;
;mo;väcka;;
;sand;krypare;;
;dvärg;korp;;
;sill;kaja;;
;skrän;stare;;
;silver;siska;;
;guld;herre;;
;diamant;sparv;;
;pärl;gås;;
;kejsar;ejder;;
;katt;ätare;;
;hök;kung;;
;horn;orre;;
;natt;glada;;
;rödhake;gök;;
;blåhake;hake;;
;busk;;;
;björk;;;
;tall;;;
;gran;;;
;löv;;;
;härm;;;
;vass;;;
;snö;;;
;nöt;;;
;var;;;
;lav;;;
;dom;;;
;säv;;;
;vide;;;
;ortolan;;;
;spetsbergs;;;
;kanada;;;
;prakt;;;
;storm;;;
;is;;;
;topp;;;
;stäpp;;;
;afton;;;
;skrik;;;
;taiga;;;
;bläs;;;
;bo;;;
;orm;;;
;torn;;;
;gök;;;
;ladu;;;
;pil;;;
;snatter;;;
;pung;;;
;rackel;;;
;vit;;;
;back;;;
;hus;;;
;lärk;;;
